batch_size,trial_num,accuracy,loss,test_accuracy,test_precision,test_recall
10,27,0.970000028610229,0.0670208111405372,0.850000023841857,1,0.699999988079071
10,28,0.479999989271163,0.693253338336944,0.5,0,0
10,29,1,0.000200232956558465,0.899999976158142,1,0.800000011920929
10,30,0.5,0.69317889213562,0.5,0,0
25,1,0.519999980926513,0.692996442317962,0.5,0.5,1
25,2,0.490000009536743,0.693166196346283,0.550000011920929,1,0.100000001490116
25,3,0.519999980926513,0.693040072917938,0.5,0.5,1
25,4,0.509999990463256,0.692142486572265,0.5,0.5,1
25,5,1,0.0159474555402994,0.899999976158142,0.833333313465118,1
25,6,0.490000009536743,0.693216323852539,0.5,0.5,1
25,7,0.879999995231628,0.294589608907699,0.850000023841857,0.818181812763214,0.899999976158142
25,8,0.939999997615814,0.597526848316192,0.850000023841857,1,0.699999988079071
25,9,0.490000009536743,0.693213939666748,0.5,0.5,1
25,10,0.930000007152557,0.125792428851127,0.850000023841857,1,0.699999988079071
25,11,0.519999980926513,0.69306457042694,0.5,0,0
25,12,0.980000019073486,0.0935021862387657,0.899999976158142,0.833333313465118,1
25,13,0.899999976158142,1.42582654953002,0.5,0,0
25,14,0.949999988079071,0.144550278782844,0.949999988079071,1,0.899999976158142
25,15,0.490000009536743,0.658205270767211,0.5,0.5,1
25,16,0.970000028610229,0.105174139142036,0.850000023841857,0.888888895511627,0.800000011920929
25,17,0.479999989271163,0.693223893642425,0.5,0,0
25,18,0.469999998807907,0.693392276763916,0.5,0.5,1
25,19,0.939999997615814,0.308785557746887,0.850000023841857,1,0.699999988079071
25,20,0.5,2.1626877784729,0.5,0,0
25,21,0.509999990463256,0.693117082118988,0.5,0.5,1
25,22,0.509999990463256,0.690319955348968,0.400000005960464,0.444444447755813,0.800000011920929
25,23,0.519999980926513,0.69297182559967,0.5,0,0
25,24,0.980000019073486,0.0586566403508186,0.800000011920929,0.714285731315612,1
25,25,0.46000000834465,0.693476259708404,0.5,0,0
25,26,0.990000009536743,0.0346604473888874,0.850000023841857,1,0.699999988079071
25,27,1,0.0252135042101144,0.5,0,0
25,28,0.560000002384185,0.925878584384918,0.5,0,0
