epochs,trial_num,accuracy,loss,val_accuracy,val_loss,test_accuracy,test_precision,test_recall
4,16,0.484210520982742,0.693234682083129,0.466666668653488,0.693249285221099,0.533333361148834,0,0
4,16,0.505263149738311,0.693148672580719,0.466666668653488,0.693330645561218,0.533333361148834,0,0
4,17,0.463157892227172,0.693490445613861,0.566666662693023,0.692665100097656,0.533333361148834,0,0
4,18,0.89473682641983,0.276225000619888,1,0.0386139601469039,1,1,1
4,19,0.56891477654128,0.512006443211063,0.57310837305123,0.41301400060736,0.50253930346744,0,0
4,20,0.463157892227172,0.693472623825073,0.433333337306976,0.693632662296295,0.600000023841857,0,0
4,21,0.978947341442108,0.402488231658935,1,0.355423927307128,1,1,1
4,22,0.505263149738311,0.69315218925476,0.533333361148834,0.692838549613952,0.733333349227905,0.733333349227905,1
4,23,0.473684221506118,0.693392932415008,0.433333337306976,0.693640768527984,0.533333361148834,0.533333361148834,1
4,24,0.484210520982742,0.693293094635009,0.533333361148834,0.693066358566284,0.533333361148834,0.533333361148834,1
4,25,0.978947341442108,0.0409430377185344,1,0.0350486636161804,1,1,1
4,27,0.916315784454345,0.146285235881805,1,0.0424676202237606,0.933333337306976,0.857142865657806,1
4,28,0.67525621630028,0.322766443211063,0.455210837305123,0.42101400060736,0.555453930346744,0,0
4,29,0.968421041965484,0.416893243789672,1,0.348888099193573,1,1,1
4,30,0.494736850261688,0.693293035030365,0.566666662693023,0.692539155483245,0.666666686534881,0,0
5,1,0.484210520982742,0.693258643150329,0.466666668653488,0.69333004951477,0.466666668653488,0,0
5,2,0.978947341442108,0.263520061969757,1,0.063759371638298,1,1,1
5,3,0.77340871630028,0.241766054211063,0.655210837305123,0.32101400060736,0.675253111346744,0,0
5,4,0.989473700523376,0.0331271104514598,1,0.0240670423954725,1,1,1
5,5,1,0.00640282081440091,1,0.00105983787216246,1,1,1
5,6,0.73340871630028,0.211766054211063,0.645210837305123,0.30001400060736,0.645253111346744,0,0
5,7,0.505263149738311,0.545330107212066,0.466666668653488,0.445272028446197,0.41333334326744,0,0
5,8,0.494736850261688,0.693231284618377,0.466666668653488,0.693473637104034,0.466666668653488,0,0
5,9,0.54736840724945,0.692783176898956,0.533333361148834,0.692844748497009,0.466666668653488,0.466666668653488,1
5,10,0.863157868385314,0.318708330392837,1,0.0118715027347207,1,1,1
5,11,0.968421041965484,0.0546503365039825,1,0.00243885000236332,0.933333337306976,1,0.857142865657806
5,12,0.989473700523376,0.367277532815933,0.966666638851165,0.292539715766906,1,1,1
5,13,0.968421041965484,0.0788053050637245,1,0.0129886753857135,1,1,1
5,14,0.915789484977722,0.444208085536956,1,0.495041787624359,1,1,1
5,15,0.68340871630028,0.233766054211063,0.625210837305123,0.31001400060736,0.585253111346744,0,0
5,16,0.463157892227172,0.693503439426422,0.533333361148834,0.692884027957916,0.733333349227905,0,0
5,17,0.968421041965484,0.356100738048553,0.933333337306976,0.34134566783905,0.933333337306976,1,0.857142865657806
5,18,1,0.010695400647819,1,0.00582912703976035,1,1,1
5,19,0.526315808296203,0.692963302135467,0.633333325386047,0.69191175699234,0.406666680574417,0.266666680574417,1
5,20,0.484210520982742,0.693194270133972,0.400000005960464,0.69335263967514,0.400000005960464,0.400000005960464,1
5,21,0.978947341442108,0.0847897157073021,1,0.00851780734956264,1,1,1
5,22,0.936842083930969,0.176265433430671,0.966666638851165,0.059821430593729,0.933333337306976,1,0.888888895511627
